"n_killed","n_injured","n_guns_involved","cluster","n_subject_suspect","teens_involved","victim_age","drug_involved","gang_involved","bar","home_invasion","school","drive_by","month","weekday"
6,1,2,2,1,0,24.2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Apr","Wed"
1,4,1,4,2,1,18.4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Jun","Mon"
0,5,1,4,1,1,28.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Jul","Sun"
1,4,1,3,1,0,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Aug","Mon"
0,12,1,4,7,1,25.3846153846154,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Sep","Thu"
1,0,1,2,0,0,44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Jan","Fri"
1,0,1,4,1,0,56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Jan","Wed"
1,0,1,3,1,0,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Jan","Mon"
1,0,1,3,2,0,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Jan","Mon"
0,0,1,3,1,0,51,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Jan","Mon"
1,0,1,4,1,1,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Jan","Wed"
0,1,1,3,0,1,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Jan","Fri"
1,0,1,2,0,0,36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Jan","Tue"
0,1,1,3,2,0,38,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Jan","Wed"
1,0,1,2,1,0,30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Feb","Wed"
1,3,1,3,1,1,16.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Feb","Wed"
0,0,1,2,1,1,40,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Feb","Sun"
1,0,1,4,1,1,14,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,"Feb","Wed"
0,1,1,3,1,1,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Feb","Sun"
1,0,1,4,0,0,21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Apr","Tue"
0,1,1,2,0,0,28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Apr","Sun"
1,0,1,1,1,0,31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Apr","Tue"
